127.0.0.1 - - [30/Mar/2024:21:45:17 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [30/Mar/2024:21:49:28 +0530] "GET /TechBlog/login_page.jsp HTTP/1.1" 200 4766
0:0:0:0:0:0:0:1 - - [30/Mar/2024:21:49:28 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [30/Mar/2024:21:49:38 +0530] "POST /TechBlog/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Mar/2024:21:49:38 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 12950
0:0:0:0:0:0:0:1 - - [30/Mar/2024:21:49:38 +0530] "GET /TechBlog/pics/Crop.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2024:21:49:39 +0530] "GET /TechBlog/load_posts.jsp?cid=0 HTTP/1.1" 200 3572
0:0:0:0:0:0:0:1 - - [30/Mar/2024:21:49:39 +0530] "GET /TechBlog/blog_pics/download.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2024:21:49:39 +0530] "GET /TechBlog/blog_pics/marvels-spider-man-pc-games-playstation-4-playstation-5-7680x3292-8652.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2024:21:49:39 +0530] "GET /TechBlog/blog_pics/reading-book.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2024:21:49:46 +0530] "GET /TechBlog/show_blog_page.jsp?post_id=4 HTTP/1.1" 200 12722
0:0:0:0:0:0:0:1 - - [30/Mar/2024:21:49:46 +0530] "GET /TechBlog/img/bg.jpg HTTP/1.1" 200 52996
0:0:0:0:0:0:0:1 - - [30/Mar/2024:21:53:21 +0530] "GET /TechBlog/show_blog_page.jsp?post_id=4 HTTP/1.1" 200 12722
0:0:0:0:0:0:0:1 - - [30/Mar/2024:21:53:21 +0530] "GET /TechBlog/img/bg.jpg HTTP/1.1" 200 32147
0:0:0:0:0:0:0:1 - - [30/Mar/2024:21:54:50 +0530] "GET /TechBlog/show_blog_page.jsp?post_id=4 HTTP/1.1" 200 12723
0:0:0:0:0:0:0:1 - - [30/Mar/2024:21:54:50 +0530] "GET /TechBlog/img/1bg.jpg HTTP/1.1" 200 36357
0:0:0:0:0:0:0:1 - - [30/Mar/2024:21:55:13 +0530] "GET /TechBlog/show_blog_page.jsp?post_id=4 HTTP/1.1" 200 12722
0:0:0:0:0:0:0:1 - - [30/Mar/2024:21:55:13 +0530] "GET /TechBlog/img/bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2024:21:56:49 +0530] "GET /TechBlog/show_blog_page.jsp?post_id=4 HTTP/1.1" 200 12729
0:0:0:0:0:0:0:1 - - [30/Mar/2024:21:56:49 +0530] "GET /TechBlog/img/bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2024:21:58:16 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 13064
0:0:0:0:0:0:0:1 - - [30/Mar/2024:21:58:19 +0530] "GET /TechBlog/img/bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2024:21:58:20 +0530] "GET /TechBlog/load_posts.jsp?cid=0 HTTP/1.1" 200 3572
0:0:0:0:0:0:0:1 - - [30/Mar/2024:22:15:50 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Mar/2024:22:15:50 +0530] "GET /TechBlog/login_page.jsp HTTP/1.1" 200 4766
0:0:0:0:0:0:0:1 - - [30/Mar/2024:22:16:01 +0530] "POST /TechBlog/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Mar/2024:22:16:01 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 13041
0:0:0:0:0:0:0:1 - - [30/Mar/2024:22:16:01 +0530] "GET /TechBlog/img/bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2024:22:16:01 +0530] "GET /TechBlog/pics/profile.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2024:22:16:02 +0530] "GET /TechBlog/load_posts.jsp?cid=0 HTTP/1.1" 200 3572
0:0:0:0:0:0:0:1 - - [30/Mar/2024:22:16:06 +0530] "GET /TechBlog/show_blog_page.jsp?post_id=6 HTTP/1.1" 200 12681
0:0:0:0:0:0:0:1 - - [30/Mar/2024:22:16:21 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 13041
0:0:0:0:0:0:0:1 - - [30/Mar/2024:22:16:22 +0530] "GET /TechBlog/load_posts.jsp?cid=0 HTTP/1.1" 200 3572
0:0:0:0:0:0:0:1 - - [30/Mar/2024:22:16:25 +0530] "GET /TechBlog/show_blog_page.jsp?post_id=5 HTTP/1.1" 200 12757
0:0:0:0:0:0:0:1 - - [30/Mar/2024:22:19:31 +0530] "GET /TechBlog/show_blog_page.jsp?post_id=5 HTTP/1.1" 200 12759
0:0:0:0:0:0:0:1 - - [30/Mar/2024:22:19:31 +0530] "GET /TechBlog/img/bg.jpg HTTP/1.1" 304 -
